recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
631,390.39,50.5,1.84,32.66,Lunch/Snacks,1,High
632,299.82,40.79,4.36,1.06,Chicken Breast,6,High
633,105.95,55.8,0.07,7.55,Vegetable,2,High
634,541.86,53.39,1.1,8.41,Vegetable,4,High
635,225.36,23.06,7.59,21.57,Chicken Breast,4,NA
636,510.79,48.79,1.87,7.22,Lunch/Snacks,1,High
637,2029.33,25.08,0.61,54,One Dish Meal,1,High
638,146.87,76.13,1.65,93.14,Chicken,1,NA
639,321.95,1.41,10.76,112.64,Meat,1,High
640,1580.48,16.2,8.67,10.55,Meat,4,NA
641,138.64,17.79,8.52,6.82,Vegetable,2,High
642,995.98,54.44,16.15,132.87,Chicken Breast,2,NA
643,1610.06,42.58,0.24,48.54,Meat,4,High
644,561.72,18.83,11.76,5.69,Dessert,4,NA
645,26.16,32.73,1.32,0.73,Potato,2,High
646,1291.46,63.62,8.22,18.86,Lunch/Snacks,1,High
647,813.82,33.77,1.68,1.01,Chicken,4,NA
648,542.56,7.52,7.82,40.74,Pork,4,High
649,131.94,1.19,1.89,0.07,Beverages,4,NA
650,338.77,13.88,1.69,0.24,Beverages,2,NA
651,269.46,70.53,6.52,23.25,Potato,4,High
652,332.63,25.69,6.66,1.73,Beverages,4,NA
653,0.54,30.59,10.45,0.36,Beverages,6,High
654,732.96,8.31,0.91,0.68,Potato,6,High
655,0.59,18.82,58,16.44,Dessert,2,High
656,291.89,36.28,63.14,7.02,Dessert,4,High
657,458.66,7.37,13.37,78.76,Chicken Breast,1,NA
658,135.07,26.32,4.58,7.11,Potato,4,High
659,16.87,61.77,5.91,10.32,Breakfast,1,High
660,375.59,15.42,7.6,17.7,One Dish Meal,4,High
661,288.86,28.63,50.81,7.71,Dessert,6,High
662,721.81,0.19,0.33,19,Dessert,1,High
663,715.14,20.37,3.27,2.47,Dessert,1,NA
664,118.71,9.58,3.16,0.69,Beverages,6,NA
665,1056.94,38.09,4.27,46.59,Chicken,4,NA
666,643.87,0.7,35.74,12.96,Vegetable,6,High
667,100.39,9.66,24.37,16.97,Vegetable,2,High
668,1271.9,50.13,16.8,19.44,Pork,2,High
669,343.96,23.79,58.88,0.41,Dessert,1,High
670,0.8,12.26,1.33,6.21,Chicken Breast,6,NA
671,481.88,12.74,1.34,51.9,Chicken,1,High
672,640.65,8.32,2.04,53.64,Meat,4,NA
673,66.03,22.47,4.94,1.78,Vegetable,2,High
674,15.79,11.89,5.08,3.75,Vegetable,4,High
675,NA,NA,NA,NA,Pork,4,High
676,716.84,15.12,4.17,2.25,Potato,6,High
677,261.88,0.58,12.87,1.76,Beverages,1,NA
678,988.66,102.72,3.2,17.35,Breakfast,4,NA
679,156,20.96,10.28,77.39,Meat,1,High
680,178.95,22.59,4.04,7.04,One Dish Meal,2,High
681,11.57,20.55,0.5,0.02,Beverages,1,NA
682,339.38,5.75,10.19,363.36,Chicken Breast,6,High
683,147.24,9.72,0.94,54,Chicken,4,NA
684,NA,NA,NA,NA,Potato,1,High
685,1428.47,19.25,0.13,31.58,Chicken,4,NA
686,73.3,7.73,3.95,36.47,Vegetable,6,High
687,975.9,10.81,3.04,60.25,Chicken Breast,4,NA
688,249.33,69.42,7.91,11.29,Dessert,4,High
689,389.31,138.05,7.81,7.94,Potato,6,High
690,484.65,60.94,1.05,4.45,Potato,4,High
691,278.35,22.25,1.51,17.9,Chicken,1,High
692,56.91,107.12,1.91,0.8,Vegetable,4,High
693,498.56,5.96,2.08,15.44,Breakfast,2,NA
694,32.92,170.88,52.05,6.27,Dessert,4,High
695,1348.4,152.24,0.15,2.56,One Dish Meal,2,High
696,891.11,15.2,1.5,286.97,Chicken,2,NA
697,1694.81,41.54,10.96,32.72,Meat,4,High
698,92.44,29.29,2.6,27.19,Chicken Breast,1,NA
699,85.29,46.39,2.78,5.08,Vegetable,2,High
700,628.49,20.86,0.33,17.74,Chicken Breast,6,High
701,112.46,15.54,4.33,26.1,Lunch/Snacks,4,High
702,582.49,12.17,0.13,9.3,Chicken,6,NA
703,521.32,4.88,11.69,32.98,Chicken,6,High
704,665.01,11.65,19.16,26.66,Breakfast,4,NA
705,384.96,58.61,0.55,23.38,Chicken,2,NA
706,458.53,28.89,6.32,92.01,Breakfast,1,NA
707,313.53,41.44,5.95,5.07,Breakfast,2,NA
708,299.17,20.65,6.34,12.65,Pork,6,High
709,278.75,39.36,5.05,0.07,Breakfast,1,NA
710,322.89,14.86,0.02,6.84,Lunch/Snacks,6,High
711,207.57,1.52,4.46,15.05,One Dish Meal,6,High
712,NA,NA,NA,NA,Lunch/Snacks,4,High
713,NA,NA,NA,NA,Pork,6,High
714,720.31,6.88,0.76,17.24,Meat,4,High
715,1044.25,30.87,3.7,5.37,Potato,4,High
716,1335.54,27.82,9.03,8.64,Breakfast,2,NA
717,113.37,4.9,1.29,17.08,Pork,6,High
718,999.59,140.22,5.08,0.76,One Dish Meal,1,High
719,915.15,44.8,8.97,14.27,Potato,4,High
720,425.75,162.11,0.64,7.73,Lunch/Snacks,6,High
721,239.1,80.83,0.3,23.25,Breakfast,2,High
722,1588.26,67.84,13.43,5.84,Dessert,6,High
723,1070.05,124.16,2.18,50.84,One Dish Meal,6,High
724,974.61,2.67,4.72,3.08,Pork,4,High
725,263.94,0.98,7.41,13.08,Pork,4,High
726,27.46,8.3,6.91,18.15,Meat,4,High
727,399.26,96.71,8.6,52,Pork,4,High
728,213.77,58.08,1.59,1.19,Beverages,6,NA
729,818.53,4.97,1.25,31.59,Lunch/Snacks,4,High
730,472.11,15.08,24.63,23.21,Breakfast,4,NA
731,241,16.83,16.4,1.02,Beverages,2,NA
732,712.27,23.3,8.39,54.51,Chicken,2,High
733,1228.14,32.54,1.67,7.38,Potato,4,High
734,215.03,8.86,1.1,3.77,Chicken Breast,1,High
735,54.39,61.77,8.77,12.89,Pork,4,High
736,513.75,65.87,18.63,18.39,Lunch/Snacks,4 as a snack,NA
737,70.53,17.09,10.64,0.87,Beverages,6,NA
738,686.84,17.72,95.75,1.64,Dessert,4,High
739,179.24,265.09,0.15,45.29,One Dish Meal,6,High
740,88.59,43.72,3.9,30.75,Lunch/Snacks,4,High
741,1402.99,2.13,4.01,19.75,Chicken Breast,6,High
742,92.01,51.29,9.66,1.95,Dessert,4,High
743,1045.25,73.99,0.53,34.94,Meat,1,High
744,12.99,68.8,3.64,11.38,Lunch/Snacks,1,High
745,263.04,52.87,1.27,19.53,Potato,6,High
746,129.07,37.3,2.09,31.57,Pork,2,High
747,548.43,127.12,8.71,24.1,Chicken,2,NA
748,153.76,14.27,0.21,0.96,Beverages,4,NA
749,227.88,21.19,15.05,83.9,Pork,4,NA
750,NA,NA,NA,NA,Dessert,4,High
751,54.81,12.49,8.26,12.53,Breakfast,6,NA
752,32.29,133.9,14.35,0.74,Dessert,6,NA
753,1377.61,18.99,7.93,38.94,One Dish Meal,4,High
754,1317.56,24.42,26.36,85.79,Pork,4,High
755,69.69,76.09,1.72,99.13,One Dish Meal,2,High
756,790.21,3.92,5.93,23.16,Chicken Breast,4,High
757,1203.79,46.46,1.26,7.99,One Dish Meal,4,NA
758,853.22,24.8,0.9,14.1,Lunch/Snacks,4,NA
759,253.63,12.99,5.75,9.5,Potato,1,NA
760,878.7,7.7,3.87,35.12,Pork,6,High
761,201.19,6.4,56.78,0.13,Beverages,4,NA
762,197.73,224.16,2.97,1.26,Potato,2,High
763,374.75,3.42,18.07,25.39,One Dish Meal,1,High
764,255.77,111.08,14.46,2.17,Pork,1,High
765,474.73,12.78,3.66,1.17,Beverages,4,NA
766,NA,NA,NA,NA,Pork,1,High
767,217.78,0.62,4.51,0.46,Vegetable,6,High
768,337.25,31.92,8,27.51,One Dish Meal,1,High
769,732.56,8.13,1.98,0.07,Breakfast,4,NA
770,573.69,9.55,5.19,7.83,Meat,4,NA
771,899.53,55.54,7.64,18.26,Dessert,2,High
772,96.2,7.2,5.51,0.27,Beverages,1,NA
773,NA,NA,NA,NA,One Dish Meal,4,NA
774,597.75,34.77,4.7,38.26,Chicken Breast,1,High
775,48.76,6.27,1.5,0.1,Beverages,6,NA
776,1270.46,10.74,2.19,51.99,Pork,4,High
777,544.51,88.67,14.45,63.94,Breakfast,1,NA
778,47.89,17.17,9.89,0.89,Beverages,6,NA
779,241.29,4.25,7.69,9.87,Lunch/Snacks,6,High
780,12.25,11.17,7.44,26.89,Meat,6,High
781,83.42,8.11,0.37,0.36,Beverages,4,NA
782,2068.07,34.23,1.46,10.02,Potato,1,High
783,44.15,18.62,1.65,182.63,Pork,1,High
784,529.26,7.54,6.94,25.21,Meat,4,High
785,127.84,65.14,1.91,29.65,Lunch/Snacks,4,NA
786,23.84,54.51,0.63,0.59,Breakfast,6,High
787,1160.95,3.69,11.83,33.12,Chicken,4,NA
788,100.83,162.91,0.41,5.68,Potato,6,High
789,71.71,51.87,9.8,15.1,Meat,4,High
790,35.64,92.44,15.83,10.27,One Dish Meal,4,High
791,102.32,46.13,15.64,6.5,Lunch/Snacks,6,NA
792,28.99,46.4,7.14,0.22,Beverages,6,NA
793,651.82,63.66,5.25,52.18,One Dish Meal,6,High
794,633.17,20,2.35,26.11,Lunch/Snacks,4,High
795,481.51,5.99,5.43,28.51,Meat,4,High
796,41.92,25.28,1.95,14.62,Chicken Breast,2,High
797,665.49,15.55,0.77,18.8,Chicken,4,High
798,94.44,13.41,2.48,3.24,Potato,4,High
799,100.82,102.44,1.25,33.51,Potato,1,High
800,39.82,9.71,19.24,8.5,Dessert,2,NA
801,1054.4,25.96,0.43,0.24,Potato,6,NA
802,1078.33,13.48,11.42,136.65,Pork,6,High
803,71.73,25.82,2.41,33.21,Meat,6,NA
804,999.13,51.34,2.82,25.25,Lunch/Snacks,1,High
805,446.58,0.44,0.05,37.28,Chicken Breast,4,NA
806,1370.8,0.48,2.15,1.65,Meat,4,NA
807,96.49,37.38,3.93,1.24,Potato,6,High
808,73.56,15.61,5.91,4.71,Lunch/Snacks,6,High
809,502.89,3.44,3.9,0.1,Beverages,6,NA
810,328.47,6.01,3.9,33.17,Chicken,4,NA
811,336.13,38.56,75.48,14.64,Dessert,1,NA
812,1053.49,6.49,10.53,10.27,Vegetable,4,High
813,550.71,11.53,0.35,0,Potato,2,High
814,1245.7,0.08,14.34,3.52,Lunch/Snacks,4,High
815,305.22,41.6,0.18,25.99,Chicken Breast,4,NA
816,41.52,135.88,6.02,38.49,Breakfast,4,NA
817,535.55,0.08,4.4,5.56,One Dish Meal,6,High
818,12.06,41.93,0.84,15.38,Breakfast,1,NA
819,208.31,84.21,4.99,43.5,One Dish Meal,6,High
820,600.24,51.08,18.07,5.91,Dessert,4,High
821,7.63,38.99,5.21,0.64,Vegetable,4,High
822,439.11,38.45,2.72,15.7,Pork,1,High
823,212.15,24.89,1.66,6.13,One Dish Meal,2,High
824,1356.45,8.6,3.33,2.23,Pork,2,High
825,247.89,44.68,2.64,19.94,Chicken Breast,1,High
826,12.24,37.13,3.39,0.28,Vegetable,1,High
827,228.51,40.37,5.18,4.55,Potato,1,High
828,71.34,38.27,2.88,24.74,Meat,1,High
829,414.54,17.84,1.23,7.5,Potato,6,High
830,912.77,79.94,1.85,44.36,One Dish Meal,1,High
831,633.79,228.67,1.1,4.14,Potato,4,High
832,674.75,21.48,3.93,23.86,Lunch/Snacks,1,High
833,23.62,49.82,4.97,5.53,Vegetable,4,High
834,86.02,31.49,1.27,6.72,Lunch/Snacks,6,High
835,108.55,42.6,1.04,1.96,Vegetable,4,High
836,624.57,3.46,14.41,15.7,Chicken Breast,1,NA
837,953.06,10.38,0.26,13.3,Breakfast,4,NA
838,12.63,40.82,0.59,3.41,Vegetable,4,High
839,727.55,2.81,1.01,28.55,Meat,4,High
840,340.31,0.41,2.29,10.55,Chicken,4,High
841,84.91,28.31,9.9,41.53,Chicken,6,High
842,516.57,36.73,4.34,5.37,Chicken Breast,4,NA
843,282.89,114.65,2.51,28.11,Lunch/Snacks,6,High
844,255.92,157.92,2.18,3.47,Potato,4,High
845,805.11,194.26,45.95,4.03,Dessert,4,High
846,399.59,56.13,5.77,4.81,Dessert,2,NA
847,128.46,151.69,8.12,0.76,Dessert,4,NA
848,88.17,49.37,0.01,0.4,Beverages,6,NA
849,64.15,6.14,0.27,29.33,Meat,2,High
850,0.64,75.64,3.26,6.95,Breakfast,1,NA
851,17.7,78.46,23.19,0.22,Dessert,2,NA
852,NA,NA,NA,NA,Lunch/Snacks,4,High
853,474.05,4.67,1.1,39.11,Chicken,1,NA
854,406.57,8.78,0.09,0.61,Dessert,6,NA
855,63.05,10.13,5.18,15.16,Lunch/Snacks,6,NA
856,143.51,6.17,0.54,5,Pork,4,High
857,362.78,97.21,0.55,21.11,Lunch/Snacks,2,High
858,113.31,11.5,1.73,11.6,Vegetable,2,High
859,388.44,12.89,4.62,13.93,Pork,4,High
860,NA,NA,NA,NA,One Dish Meal,4,NA
861,207.96,16.55,76.11,1.19,Dessert,4,NA
862,1646.67,9.42,5.12,245.57,Chicken Breast,6,High
863,21.09,10.5,4.66,0.02,Beverages,2,NA
864,48.5,7.49,0.11,17.24,Breakfast,4,NA
865,57.63,7.79,4.95,3.75,Vegetable,4,High
866,NA,NA,NA,NA,Lunch/Snacks,6,High
867,642.71,12.75,2.33,35.22,Chicken,2,NA
868,307.36,31.39,52.17,10.12,Dessert,6,NA
869,301.49,10.39,14.02,4.94,Lunch/Snacks,4,High
870,184.32,14.18,7.47,0.04,Beverages,1,NA
871,1471.33,86.51,0.79,0.58,Potato,1,High
872,442.15,5.62,0.79,59.69,One Dish Meal,2,High
873,230.27,9.26,0.43,56.8,One Dish Meal,6,High
874,161.3,35.29,3.23,3.51,Potato,6,High
875,976.87,7.73,3.01,49.04,One Dish Meal,2,High
876,141.66,38.53,2.96,10.13,Potato,4,High
877,25.21,0.47,20.64,52.56,Pork,2,High
878,70.25,28.84,4.54,3.96,Breakfast,4,NA
879,88.26,18.58,5.21,99.64,Meat,6,High
880,190.33,22.62,0.51,11.92,Meat,4,NA
881,282.57,9.87,1.9,0.16,Beverages,4,NA
882,219.25,3.19,5.82,12.75,Vegetable,4,High
883,248.6,24.45,5.37,0.38,Breakfast,1,NA
884,343.26,85.06,1.58,19.57,Lunch/Snacks,2,NA
885,504.09,32.76,1.46,25.73,One Dish Meal,2,NA
886,166.85,159.72,2.8,21.47,Breakfast,4,NA
887,30.37,38.4,0.1,35.2,Vegetable,2,High
888,1716.03,19.99,6.71,25.29,Chicken Breast,2,High
889,1129.21,85.35,1.69,11.92,Pork,4,High
890,110.86,17.28,10.33,60.57,Chicken,4,NA
891,NA,NA,NA,NA,Meat,4,High
892,309.67,23.22,10.01,7.25,Chicken,1,NA
893,134.33,23.47,4.46,23.21,Vegetable,4,High
894,NA,NA,NA,NA,One Dish Meal,4,NA
895,576.07,21.89,2.96,71.16,Pork,4,NA
896,309.05,126.18,37.76,2.76,Dessert,4,High
897,NA,NA,NA,NA,Chicken,6,High
898,576.38,15.98,0.54,36.23,Pork,2,NA
899,643.99,31.56,2.3,57.14,Meat,2,High
900,35.81,3.38,0.07,0.12,Beverages,6,NA
901,116.69,19.94,9.75,3.01,Vegetable,2,High
902,92.61,1.35,3.59,0.04,Beverages,6,High
903,779.72,24.92,1.62,22.45,Pork,4,High
904,284.59,9.73,1.76,111.57,Meat,4,High
905,449.22,96.11,4.6,6.58,Pork,2,High
906,42.3,12.14,1.86,87.25,Chicken Breast,2,NA
907,194.37,12.17,1.58,3.67,Lunch/Snacks,4,NA
908,2332.32,7.47,3.62,34.33,One Dish Meal,1,High
909,109.42,51.67,2.54,4.5,Lunch/Snacks,1,High
910,868.76,46.47,2.68,23.05,Lunch/Snacks,1,High
911,74.73,2.99,1.18,0.22,Potato,6,High
912,NA,NA,NA,NA,Dessert,6,High
913,109.21,7.37,15.64,0.5,Beverages,1,NA
914,1089.14,5.14,7.51,47.4,Chicken Breast,6,NA
915,231.35,60.56,0.01,5.16,Potato,6,High
916,124.67,22.33,0.61,1.31,Potato,4,High
917,64.27,0.16,51.64,0.74,Beverages,2,NA
918,367.92,45.8,0.93,4.61,Breakfast,2,NA
919,NA,NA,NA,NA,Pork,6,High
920,1148.55,10.37,5.7,30.83,Meat,6,High
921,375.32,131.8,16.43,4.76,Chicken,4,High
922,239.23,32.87,3.37,40.62,Breakfast,4,NA
923,27.65,31.14,3.6,8.66,Potato,4,High
924,324.12,28.42,7.79,12.47,Meat,2,High
925,199.2,0.69,4.11,0.12,Beverages,4,NA
926,3633.16,29.07,0.35,2.32,Chicken,4,NA
927,269.24,30.22,13.63,36.72,Meat,2,High
928,253.14,19.23,11.22,2.35,One Dish Meal,2,High
929,5.87,47.91,30.06,24.72,Meat,4,High
930,350.88,1.34,0.54,0.06,Beverages,4,NA
931,607.52,34.88,5.49,9.79,Lunch/Snacks,4,High
932,110.17,65.7,58.15,5.92,Dessert,1,High
933,1017.32,85.12,1.71,1.85,Potato,1,NA
934,47.74,5.33,0.87,17.42,Chicken Breast,4,High
935,113.62,7.12,5.27,13.4,Vegetable,4,High
936,262.29,60.13,72.49,5.07,Dessert,4,High
937,164.86,1.62,7.57,48.35,Pork,4,High
938,126.31,45.48,6.26,10.44,Dessert,1,High
939,NA,NA,NA,NA,Pork,4,High
940,2283.29,34.34,5.12,17.57,Chicken Breast,6,NA
941,1337.5,49.91,0.76,57.9,Chicken,4,NA
942,186.21,83.94,1.98,22.4,Chicken Breast,4,High
943,1161,5.31,22.39,44.22,Lunch/Snacks,2,NA
944,NA,NA,NA,NA,Potato,2,High
945,951.74,29.42,3.57,13.87,Pork,2,High
946,266.61,35.77,0.97,8.07,Potato,6,High
947,184.56,45.21,6.2,0.03,Beverages,4,NA
